,Track_Name,Artists,Album_Name,Album_ID,Track_ID,Popularity,Release_date,Duration(ms),Explicit,External_URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
86,Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean,7vus4Q8r5DS2Dl1JClxEsA,3Ofmpyhv5UAQ70mENzB277,73,2021-01-06,132780,True,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996
87,dangerous,"21 Savage, Lil Durk, Metro Boomin",american dream,2RRYaYHY7fIIdvFlvgb5vq,0fyP96TikhD9sM4eKqw5Yp,72,2024-01-12,265305,True,https://open.spotify.com/track/0fyP96TikhD9sM4eKqw5Yp,0.753,0.837,5,-4.673,0,0.278,0.0657,0.0,0.151,0.589,151.949
88,Edge of Seventeen,Wuki,Edge of Seventeen,6oeEtPWpOfed7plMHI5qef,5IFSvSEeCAvvBEQ85poqKB,72,2022-10-21,164043,False,https://open.spotify.com/track/5IFSvSEeCAvvBEQ85poqKB,0.708,0.909,5,-5.999,0,0.0476,0.0324,0.527,0.08,0.351,127.997
89,Marianela (Que Pasa),"HUGEL, Merk & Kremont, Lirico En La Casa",Marianela (Que Pasa),5As1VmPUMn4HIgYSbFD6l0,5bZjb7xKqLqa58QiUBcVvl,72,2022-11-25,145766,False,https://open.spotify.com/track/5bZjb7xKqLqa58QiUBcVvl,0.818,0.885,1,-4.184,1,0.0498,0.0353,0.00655,0.0785,0.532,124.041
90,Tarantella,"Gabry Ponte, KEL",Tarantella,0nxNoLQWFwsRqTfLh7R0sq,4pBuhoBxgwBpkkOhfT6p6N,72,2024-03-29,145554,False,https://open.spotify.com/track/4pBuhoBxgwBpkkOhfT6p6N,0.701,0.861,9,-5.509,1,0.0781,0.139,2.58e-05,0.332,0.426,140.072
91,Kernkraft 400 (A Better Day),"Topic, A7S",Kernkraft 400 (A Better Day),2NIChqkijGw4r4Dqfmg0A3,3kcKlOkQQEPVwxwljbGJ5p,72,2022-06-17,165800,False,https://open.spotify.com/track/3kcKlOkQQEPVwxwljbGJ5p,0.623,0.727,11,-5.57,0,0.0562,0.184,2.02e-05,0.309,0.4,125.975
92,Rhyme Dust,"MK, Dom Dolla",Rhyme Dust,1vSO4N7cwo4pBywCSGF5BR,59QDyqLww2pxyg9ijOPO7f,72,2023-02-24,181365,False,https://open.spotify.com/track/59QDyqLww2pxyg9ijOPO7f,0.925,0.561,3,-8.675,1,0.176,0.0659,0.0271,0.152,0.721,128.034
93,stayinit,"Fred again.., Lil Yachty, Overmono",stayinit,0DeGmYq33W6Svw1eTgnxDF,6WS2TcsMEGOFtveWbtbuwZ,72,2024-02-28,274925,False,https://open.spotify.com/track/6WS2TcsMEGOFtveWbtbuwZ,0.699,0.755,7,-6.502,0,0.122,0.003,0.00511,0.244,0.132,134.082
94,BOTH,"Tiësto, 21 Savage, BIA",BOTH,4WithBxkUVDf6Xe0KbTOkL,7mobUfp1aL8A6CdugCMWft,72,2023-08-29,188000,False,https://open.spotify.com/track/7mobUfp1aL8A6CdugCMWft,0.69,0.933,5,-3.099,0,0.0832,0.0252,2.51e-05,0.493,0.523,119.987
95,Sunshine (My Girl),Wuki,Sunshine (My Girl),7AE0HaidGUaRBSmIZmJ8As,2bI6KAUqXeIXGAEEvup8ri,72,2023-09-01,131250,False,https://open.spotify.com/track/2bI6KAUqXeIXGAEEvup8ri,0.871,0.765,0,-4.602,1,0.116,0.00742,0.000196,0.0953,0.596,128.087
96,Pink Venom,BLACKPINK,Pink Venom,3dZBZnDa3z20uEVnxR38M1,0skYUMpS0AcbpjcGsAbRGj,71,2022-08-19,186964,False,https://open.spotify.com/track/0skYUMpS0AcbpjcGsAbRGj,0.798,0.697,0,-7.139,1,0.0891,0.0202,0.0,0.259,0.745,90.031
97,family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),3HqmX8hGcbbQZODgayNEYx,7Bpx2vsWfQFBACRz4h3IqH,71,2021-08-27,252070,True,https://open.spotify.com/track/7Bpx2vsWfQFBACRz4h3IqH,0.711,0.611,1,-5.453,1,0.329,0.00575,0.0,0.231,0.144,134.14
98,LOKERA,"Rauw Alejandro, Lyanno, Brray",LOKERA,4vJcqwIGUuk5TeP29OPovU,79HZAZNnOE97rb2hnI0XQr,70,2022-07-25,197101,True,https://open.spotify.com/track/79HZAZNnOE97rb2hnI0XQr,0.836,0.826,11,-2.66,0,0.0461,0.213,6.03e-06,0.0814,0.579,102.025
99,SUPERMODEL,Måneskin,SUPERMODEL,5jhbLeXH1a3SRSOg84GSUn,63WuQOXohQIxOxIFA2K7bR,70,2022-05-13,148064,False,https://open.spotify.com/track/63WuQOXohQIxOxIFA2K7bR,0.636,0.876,7,-3.413,1,0.0555,0.00164,0.0,0.117,0.799,120.983
